C:\Users\Ravi\Desktop\MimeDetectionHomework\magic_bytes_update_analysis>java compare
                                                                            MIME                Before          After           Comparison
                                                                  message_rfc822                205             205             0
                                                        application_octet-stream                23005           23005           0
                                                                 application_xml                5637            5544            -93
                                                                application_x-xz                11              11              0
                                                       image_vnd.adobe.photoshop                4               4               0
                                                             application_rdf+xml                926             890             -36
                                                                      text_x-jsp                3               13              10
                                                                application_fits                24              24              0
                                                             application_java-vm                1               1               0
                                                                 video_quicktime                880             880             0
                                                              application_x-gtar                45              45              0
                                                                      audio_mpeg                584             584             0
                                                                     text_x-diff                1               1               0
                                                           application_x-stuffit                1               1               0
                                                  application_x-bibtex-text-file                131             131             0
                                                        application_x-executable                32              32              0
                                                             application_x-bzip2                63              63              0
                                                                 video_x-msvideo                80              82              2
                                                                   text_x-matlab                1091            1091            0
                                                                     image_x-bpg                7               7               0
                                                          application_postscript                211             211             0
                                                                  message_x-emlx                1               1               0
                                                                     image_x-xcf                1               1               0
                                                                 application_zip                1472            1472            0
                                                                   image_svg+xml                283             360             77
                                                          application_x-matroska                65              65              0
                                                                  audio_x-ms-wma                55              55              0
                                                                 application_pdf                37795           37795           0
                                                               application_x-tex                11              11              0
                                                    application_vnd.rn-realmedia                103             103             0
                                                                      image_jpeg                79465           79465           0
                                                                       audio_mp4                18              18              0
                                                   application_vnd.ms-powerpoint                48              48              0
                                                  application_vnd.sun.xml.writer                1               1               0
                                                                    audio_x-flac                2               2               0
          application_vnd.openxmlformats-officedocument.presentationml.slideshow                1               1               0
                                                                  video_x-ms-asf                25              25              0
                                                           application_xhtml+xml                277041          277033          -8
                                                                      text_troff                2               2               0
                                  application_vnd.ms-excel.sheet.macroenabled.12                1               1               0
                                                                      video_mpeg                231             231             0
                                            application_vnd.google-earth.kml+xml                249             249             0
                                                                    audio_vorbis                5               5               0
                                                       application_x-mspublisher                2               2               0
                                                                       image_gif                33707           33707           0
                                                          application_x-compress                40              40              0
                                                                application_zlib                22              22              0
                                                                       video_mp4                618             618             0
                                                                application_x-sh                1066            1066            0
                                                                     audio_basic                54              54              0
                                                     application_x-tika-msoffice                1567            1567            0
                                                                      image_tiff                448             448             0
                                                                 application_rtf                44              40              -4
                                                        image_vnd.microsoft.icon                1343            1343            0
                                                                    video_theora                26              26              0
                                            application_dita+xml; format=concept                319             0               -319
                                                                       text_html                676207          676191          -16
                                                            application_atom+xml                2659            2659            0
                                                        application_x-msdownload                72              72              0
                                                              application_msword                686             686             0
                                                                     video_x-flv                12              12              0
                                                               application_x-lha                2               2               0
                                                application_vnd.google-earth.kmz                105             105             0
                                                            application_xslt+xml                11              11              0
                                                        application_x-tika-ooxml                789             789             0
                                                       application_x-java-jnilib                1               1               0
                                                             application_rss+xml                7551            7533            -18
                                                            application_epub+zip                28              28              0
                                                    application_x-debian-package                4               4               0
                                                   application_vnd.apple.keynote                1               24              23
               application_vnd.openxmlformats-officedocument.spreadsheetml.sheet                140             140             0
                                                             application_dif+xml                2907            2906            -1
                                              application_x-tika-ooxml-protected                1               1               0
                                                     application_vnd.ms-htmlhelp                1               1               0
                                                               application_x-elc                262             420             158
                                                                      text_plain                90340           90168           -172
                                                                     audio_x-wav                58              58              0
                                                                   image_vnd.dwg                3               3               0
                                                               application_x-tar                32              32              0
                                         application_vnd.oasis.opendocument.text                5               5               0
                                                                    audio_x-aiff                9               9               0
         application_vnd.openxmlformats-officedocument.wordprocessingml.document                411             411             0
                                                              application_x-grib                3               3               0
                                                     image_vnd.dxf; format=ascii                4               4               0
       application_vnd.openxmlformats-officedocument.presentationml.presentation                12              12              0
                                                                  video_x-ms-wmv                122             122             0
                                                application_vnd.ms-excel.sheet.4                1               1               0
                                   application_vnd.openxmlformats-officedocument                17              17              0
                                                                     text_x-csrc                3               3               0
                                                                    text_x-vcard                13              13              0
                                                           application_x-sqlite3                1               1               0
                                                        application_x-bittorrent                3               3               0
                                                                 audio_x-mpegurl                1               1               0
                                                          application_x-font-ttf                9               9               0
                                                        application_x-msmetafile                5               5               0
                                                                  image_x-ms-bmp                54              54              0
                                                        application_vnd.ms-excel                523             523             0
                                           application_x-msdownload; format=pe32                15              15              0
                                                     application_x-7z-compressed                2               2               0
                                                    application_x-rar-compressed                1               1               0
                                                                      text_x-php                24              24              0
                                                               application_x-rpm                3               3               0
                                                                       image_png                33690           33690           0
                                                               application_x-hdf                26              26              0
                                                                     video_x-m4v                168             168             0
                                                                     text_x-perl                14              14              0
                                                                application_gzip                1596            1596            0
         application_vnd.openxmlformats-officedocument.wordprocessingml.template                1               1               0
                                                application_dita+xml; format=val                0               396             396
                                                   application_x-shockwave-flash                121             121             0
                                                                   text_x-python                5               6               1
                                             application_x-msdownload; format=pe                1               1               0

C:\Users\Ravi\Desktop\MimeDetectionHomework\magic_bytes_update_analysis>
